gene,0,4,8
Atp6v1h,4717.714285714285,4965.875,4705
Avil,75,63.5,28.857142857142858
B3galt2,932.1428571428571,890.625,973.5714285714286
B3gnt7,14.285714285714286,14.375,13.857142857142858
BC055324,111.42857142857143,124,109.57142857142857
BC055402,3.7142857142857144,4.125,2.857142857142857
Bard1,19.428571428571427,16.625,15.714285714285714
Basp1,1089.5714285714287,1165.625,1318.2857142857142
Bbs1,1518.5714285714287,1491.875,1201.7142857142858
Bcas1,7185.857142857143,5829,4218.285714285715
Bche,464.2857142857143,370.625,289.57142857142856
Bcl11a,566,595.125,506.14285714285717
Bcl2,774,840.75,796
Bcs1l,474.7142857142857,448.375,305
Begain,811.5714285714286,916.5,1130.857142857143
Bend6,9147.57142857143,9463.875,8958
Best1,24.571428571428573,30.375,44.714285714285715
Bfsp2,160.14285714285714,111.875,50.714285714285715
Bivm,1040.5714285714287,1078.75,1013
Bmp2,57.857142857142854,51.875,49.285714285714285
Boc,3793.5714285714284,3897.5,3827
Boll,6.714285714285714,5.875,7.285714285714286
Brinp2,1158,1127.625,1110
Brinp3,843.8571428571429,883.75,838.7142857142857
Brsk2,6187.428571428572,6587.5,7838.714285714285
Bst1,8.428571428571429,14.625,38.142857142857146
Btf3l4,1864.2857142857142,1998.5,2469
Bves,11.857142857142858,15.625,11.571428571428571
Bzw1,8944.57142857143,8673.625,8739.142857142857
C1qtnf2,41.714285714285715,35.125,49.142857142857146
C2cd2,940.4285714285714,885.5,707.5714285714286
C3,43.857142857142854,52,72.42857142857143
C4b,596.8571428571429,765.625,1047.7142857142858
C4bp-ps1,12.285714285714286,11.5,10
C77080,1155.7142857142858,1337.5,1819.4285714285713
Cab39,8665.57142857143,8998.375,8891.857142857143
Cacna1e,11079.857142857143,8697.625,5118.142857142857
Cacna1s,41,39.375,34.142857142857146
Cacnb1,780,816.75,836
Calr,12784.285714285714,12408.5,7471.571428571428
Camkk1,2498.714285714286,2748.625,3313.4285714285716
Camkk2,12300.42857142857,11338.5,8752.857142857143
Camsap2,8201.857142857143,8334.875,8144.285714285715
Capg,80.42857142857143,101.25,156.85714285714286
Capn10,1085.142857142857,1078.625,1046.2857142857142
Car14,824.5714285714286,849,1420.142857142857
Car15,757.5714285714286,726.625,420
Car4,5808.428571428572,5588.375,3083.4285714285716
Cartpt,13.428571428571429,24.75,45.142857142857146
Casp1,80.85714285714286,96.5,79.28571428571429
Casp12,280.7142857142857,289.625,320.2857142857143
Casp8,93.71428571428571,85.125,86.14285714285714
Cat,2335.8571428571427,2138.125,1763.7142857142858
Catip,87.14285714285714,74.125,89.85714285714286
Ccdc136,3580.285714285714,3893,5354.571428571428
Ccdc149,977.8571428571429,1082.875,1347.857142857143
Ccdc160,48.57142857142857,49.625,57.42857142857143
Ccdc167,1365.142857142857,1304.125,994
Ccdc28a,434.7142857142857,495.625,423.85714285714283
Ccdc28b,1750.142857142857,1690.625,2008
Ccdc81,54.714285714285715,66.125,59.57142857142857
Ccdc93,1435.5714285714287,1399.5,1335.2857142857142
Ccl27a,1999.2857142857142,1982.125,1392.142857142857
Ccm2l,160.42857142857142,158.625,159.42857142857142
Ccnl2,9281.57142857143,8938.75,7812.571428571428
Ccnyl1,528,503.875,513.1428571428571
Cd180,37.57142857142857,42.125,37.57142857142857
Cd28,59.42857142857143,72.375,65.28571428571429
Cd55,276.7142857142857,251,238
Cd70,49.42857142857143,34.375,14.857142857142858
Cd99l2,3448.8571428571427,3610.375,2747.714285714286
Cdc73,958.5714285714286,957.375,886.1428571428571
Cdh19,650.8571428571429,718.875,638.2857142857143
Cdh20,1025.4285714285713,1045.125,955.2857142857143
Cdh4,785.7142857142857,700.125,576
Cdh7,1981.2857142857142,2079.5,1803.5714285714287
Cdk15,8.428571428571429,6.875,8.571428571428571
Cdk18,623.1428571428571,619.25,609.2857142857143
Cdyl,539.7142857142857,500.625,546.1428571428571
Celf3,1829.857142857143,1807.75,1631.7142857142858
Cenpl,106.57142857142857,110.5,100.28571428571429
Cep131,773.5714285714286,889.75,1243.7142857142858
Cep350,3797.5714285714284,3715.375,3472.714285714286
Cfap221,11.571428571428571,10.25,8.142857142857142
Cfap57,31.857142857142858,30.375,22.714285714285715
Cfc1,3.4285714285714284,4.875,3
Cfhr2,2.4285714285714284,1.75,1.2857142857142858
Cflar,1313.7142857142858,1266.25,1306.5714285714287
Cfp,906.1428571428571,872.25,521.2857142857143
Chil3,18.285714285714285,40.125,116.57142857142857
Chpf,2209.714285714286,2267.25,2154.714285714286
Chrac1,351,409.375,513.2857142857143
Chrm3,112.28571428571429,117.625,126.85714285714286
Cirbp,2210.714285714286,3056.625,6157
Ciz1,1562.5714285714287,1616,1497.5714285714287
Clasp1,3484.4285714285716,3538.625,3530.1428571428573
Clic4,8235.714285714286,6936.5,4903.428571428572
Clip4,1305.2857142857142,1467.875,1790.857142857143
